"Min,Max,Modal PriceLasalgaon(Niphad) from 01-Jan-2025To01-Apr-2025 (Total-104) (Total-104)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
104,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2650,2500,26-Feb-25
24,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2600,2450,27-Feb-25
36,Nashik,Lasalgaon(Niphad),Onion,Other,Local,2170,2420,2250,27-Feb-25
33,Nashik,Lasalgaon(Niphad),Onion,Other,Local,2075,2401,2300,28-Feb-25
100,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2560,2350,28-Feb-25
45,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,3101,2300,1-Mar-25
94,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1900,2400,2250,1-Mar-25
10,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2450,2350,3-Mar-25
80,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1911,2315,2225,3-Mar-25
41,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1800,2316,2200,4-Mar-25
54,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2411,2251,4-Mar-25
62,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1200,2450,2300,5-Mar-25
101,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2575,2350,5-Mar-25
14,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2460,2350,6-Mar-25
19,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1800,2400,2250,6-Mar-25
70,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1991,2300,2225,7-Mar-25
103,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2390,2275,7-Mar-25
76,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1721,2181,2000,8-Mar-25
89,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2235,2050,8-Mar-25
28,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1100,2200,1700,10-Mar-25
43,Nashik,Lasalgaon(Niphad),Onion,Red,Local,700,1870,1600,10-Mar-25
71,Nashik,Lasalgaon(Niphad),Onion,Red,Local,807,1725,1575,11-Mar-25
82,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1100,1925,1700,11-Mar-25
32,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1730,1550,12-Mar-25
50,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1680,1475,12-Mar-25
65,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1100,1825,1600,13-Mar-25
90,Nashik,Lasalgaon(Niphad),Onion,Red,Local,900,1611,1475,13-Mar-25
29,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1271,1800,1652,15-Mar-25
99,Nashik,Lasalgaon(Niphad),Onion,Red,Local,701,1700,1551,15-Mar-25
85,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1840,1575,17-Mar-25
97,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1209,1930,1650,17-Mar-25
42,Nashik,Lasalgaon(Niphad),Onion,Other,Local,802,1835,1600,18-Mar-25
87,Nashik,Lasalgaon(Niphad),Onion,Red,Local,711,1700,1550,18-Mar-25
18,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1600,1450,19-Mar-25
66,Nashik,Lasalgaon(Niphad),Onion,Other,Local,900,1620,1500,19-Mar-25
26,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1611,1500,20-Mar-25
56,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1500,1350,20-Mar-25
67,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1400,1300,21-Mar-25
68,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1600,1425,21-Mar-25
34,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1650,1500,22-Mar-25
39,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1590,1400,22-Mar-25
46,Nashik,Lasalgaon(Niphad),Onion,Red,Local,700,1478,1375,24-Mar-25
81,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1770,1500,24-Mar-25
84,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1100,1650,1550,25-Mar-25
86,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,701,1475,1400,25-Mar-25
12,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,1582,1451,26-Mar-25
55,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1675,1551,26-Mar-25
17,Nashik,Lasalgaon(Niphad),Onion,Red,Local,700,1471,1400,27-Mar-25
75,Nashik,Lasalgaon(Niphad),Onion,Other,Local,800,1670,1550,27-Mar-25
48,Nashik,Lasalgaon(Niphad),Onion,Red,Local,800,1400,1305,28-Mar-25
53,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1000,1550,1475,28-Mar-25
